ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa
AAPL,2022-07-28,0.388648,0.00783,0.014161,0.010769
AAPL,2018-11-01,0.531688,0.004551,0.087953,0.007832
AAPL,2019-07-30,0.508888,0.002693,0.16126,0.004358
AAPL,2022-10-27,0.443123,0.005174,0.109196,0.010334
AAPL,2021-10-28,0.51096,0.005098,0.106037,0.007647
AAPL,2022-01-27,0.357714,0.005639,0.244983,0.009624
AAPL,2022-04-28,0.405283,0.007304,0.119072,0.008443
PANW,2020-02-24,0.350827,0.007407,0.193594,0.006294
PANW,2018-11-29,0.36896,0.005862,0.241341,0.00782
PANW,2020-05-21,0.472972,0.006977,0.191831,0.008294
PANW,2019-05-29,0.363888,0.006803,0.217118,0.005314
PANW,2018-07-27,0.42254,0.011104,0.274797,0.007815
PANW,2019-09-04,0.216367,0.006899,0.08795,0.007987
PANW,2018-02-26,0.368438,0.009386,0.221404,0.006543
PANW,2019-11-25,0.349512,0.007966,0.202591,0.008945
PANW,2017-11-20,0.465321,0.005013,0.253343,0.007827
PANW,2018-09-06,0.242853,0.007231,0.255879,0.005072
PANW,2018-10-26,0.424647,0.004158,0.145718,0.011091
CVGI,2019-11-07,0.246757,0.0119,0.164886,0.0123
CVGI,2021-03-10,0.595961,0.008299,0.110622,0.005682
CVGI,2020-11-09,0.001682,0.007826,0.155152,0.002928
CVGI,2020-03-17,-0.224105,0.012722,0.212809,0.00533
CVGI,2019-05-07,0.335308,0.009346,0.226381,0.014042
CVGI,2019-08-09,0.276227,0.01116,0.08975,0.012609
CVGI,2021-11-03,0.306313,0.008515,-0.039702,0.005997
CVGI,2020-08-10,-0.004608,0.004918,0.139549,0.005032
CVGI,2021-05-06,0.500205,0.007727,0.147549,0.007539
CVGI,2020-05-19,-0.089372,0.007238,0.124647,0.009169
CVGI,2021-08-04,0.515483,0.006298,0.197342,0.005996
ARRY,2021-08-11,0.232374,0.00612,0.149315,0.008954
ARRY,2021-11-11,0.13372,0.010346,0.175179,0.012754
ARRY,2021-03-09,0.312783,0.009713,0.138809,0.008413
ARRY,2021-05-11,0.122655,0.009818,0.114115,0.009661
PM,2019-04-18,0.360425,0.018141,0.243721,0.0087
PM,2020-04-21,0.118475,0.010695,0.056258,0.011218
PM,2019-02-07,0.290563,0.014199,0.209958,0.007119
PM,2019-10-17,0.200524,0.017506,0.143491,0.007699
PM,2020-07-21,0.311068,0.008531,0.167134,0.011228
PM,2019-07-18,0.400436,0.018625,0.206849,0.00691
PM,2018-10-18,0.265464,0.012537,0.163705,0.00873
PM,2021-04-20,0.554433,0.006495,0.236763,0.00921
PM,2021-10-19,0.608516,0.006365,0.142154,0.015128
PM,2021-02-04,0.548881,0.007313,0.153961,0.01185
PM,2018-07-19,0.24721,0.01528,0.265767,0.007507
PM,2021-07-20,0.631351,0.006558,0.259986,0.010187
PM,2020-02-06,0.40056,0.010222,0.23127,0.006931
PM,2020-10-20,0.528996,0.00699,0.149638,0.010735
KHC,2020-02-13,0.239374,0.006943,0.101105,0.004655
KHC,2021-04-29,0.329097,0.011547,0.229542,0.007246
KHC,2021-10-27,0.310567,0.006961,0.333169,0.005189
KHC,2021-02-11,0.036362,0.023474,0.265145,0.007104
KHC,2019-02-21,0.367067,0.005585,0.138759,0.00822
KHC,2018-08-03,0.508379,0.008496,0.211402,0.00617
KHC,2019-10-31,0.256928,0.006171,0.117711,0.007166
KHC,2019-08-08,0.167253,0.009116,0.151499,0.010582
KHC,2018-11-01,0.2845,0.006028,0.190244,0.009878
KHC,2018-02-16,0.351865,0.006603,0.234578,0.007411
KHC,2021-08-04,0.486141,0.005792,0.260793,0.009846
TEL,2021-01-27,0.507131,0.006787,0.128849,0.009609
TEL,2019-07-24,-0.16256,0.002983,0.070828,0.005753
TEL,2021-10-27,0.480812,0.006697,0.149258,0.006751
TEL,2021-07-28,0.613878,0.006858,0.105352,0.009103
TEL,2019-04-24,0.243359,0.002724,0.21176,0.006866
TEL,2019-10-30,-0.207963,0.003783,0.050365,0.007771
TEL,2020-01-29,-0.108291,0.003115,0.074661,0.006237
TEL,2020-10-28,-0.028178,0.009041,0.058581,0.009156
TEL,2021-04-21,0.435726,0.005097,0.10734,0.008501
TEL,2020-04-28,-0.203703,0.008899,0.104503,0.006636
TEL,2018-10-31,0.38474,0.002706,0.098997,0.007886
TEL,2019-01-23,-0.159851,0.005972,0.043093,0.010759
TEL,2020-07-29,0.21892,0.008777,0.156584,0.006445
DENN,2021-05-04,0.106025,0.013134,0.176486,0.009426
DENN,2021-02-16,0.128999,0.01374,0.09204,0.00979
DENN,2019-04-30,0.322548,0.012863,-0.014445,0.009091
DENN,2021-08-03,0.311926,0.01663,0.180572,0.010217
DENN,2020-10-27,0.034654,0.013581,0.102648,0.009831
DENN,2021-11-02,0.417483,0.014687,0.152992,0.008501
DENN,2019-10-29,0.310382,0.011198,0.102266,0.007095
DENN,2019-07-30,0.436949,0.011894,0.106683,0.008465
DENN,2020-05-14,-0.058097,0.009073,0.109534,0.011063
DENN,2020-07-28,-0.037624,0.011074,-0.015842,0.010086
DENN,2020-02-11,0.29789,0.013556,0.148375,0.006249
DENN,2019-02-12,0.380881,0.011277,0.161775,0.009469
CGC,2022-11-09,0.424694,0.004688,0.23314,0.005952
CGC,2022-05-27,0.452886,0.004662,0.206742,0.00672
CGC,2021-08-06,0.333873,0.003655,0.307936,0.004601
CGC,2020-02-14,0.366161,0.007391,0.148264,0.007302
CGC,2018-11-14,0.174617,0.005825,0.084366,0.010008
CGC,2018-08-15,0.311095,0.006871,0.131989,0.008971
CGC,2020-11-09,0.480895,0.002646,0.292628,0.006818
CGC,2022-02-09,0.224772,0.004542,0.177831,0.005967
CGC,2023-06-22,0.271066,0.005225,0.182088,0.006687
CGC,2023-11-09,0.188372,0.005903,0.273291,0.005639
CGC,2023-08-09,0.301482,0.004462,0.255946,0.009276
CGC,2021-02-09,0.57327,0.006389,0.311862,0.010442
CGC,2020-08-10,0.294768,0.005071,0.272626,0.008919
CGC,2024-02-09,0.487081,0.003822,0.272938,0.006455
CGC,2020-05-29,0.273854,0.005884,0.241853,0.006029
CGC,2019-08-15,0.353179,0.003905,0.215715,0.006087
CGC,2024-05-30,0.484873,0.006394,0.292039,0.005337
CGC,2023-02-09,0.068995,0.005854,0.203078,0.008225
CGC,2021-11-05,0.282483,0.003494,0.274862,0.006291
